ts,platform,target,status
2025-08-29T05:38:51,ElinaInstagramReels,support@instagram.com,sent
2025-08-29T05:38:54,Printify,support@printify.com,sent
2025-08-29T05:38:57,MeshyAI,support@meshy.ai,sent
2025-08-29T05:39:01,CadCrowd,info@cadcrowd.com,sent
2025-08-29T05:39:04,Fiverr,support@fiverr.com,sent
2025-08-29T05:39:07,YouTube,youtube-api-support@google.com,sent
2025-08-29T05:39:10,StockImageVideo,submit@shutterstock.com,sent
2025-08-29T05:39:13,AIBookPublishingKDP,kdp-support@amazon.com,sent
2025-08-29T05:39:16,ShopifyDigitalProducts,support@shopify.com,sent
2025-08-29T05:39:19,StationeryExport,seller-support@amazon.in,sent
ts,platform,target,status
2025-08-29T06:05:13,ElinaInstagramReels,support@instagram.com,sent
2025-08-29T06:05:18,Printify,support@printify.com,sent
2025-08-29T06:05:23,MeshyAI,support@meshy.ai,sent
2025-08-29T06:05:28,CadCrowd,info@cadcrowd.com,sent
2025-08-29T06:05:34,Fiverr,support@fiverr.com,sent
2025-08-29T06:05:40,YouTube,youtube-api-support@google.com,sent
2025-08-29T06:05:44,StockImageVideo,submit@shutterstock.com,sent
2025-08-29T06:05:48,AIBookPublishingKDP,kdp-support@amazon.com,sent
2025-08-29T06:05:54,ShopifyDigitalProducts,support@shopify.com,sent
2025-08-29T06:05:58,StationeryExport,seller-support@amazon.in,sent
ts,platform,target,status
2025-08-29T06:28:03,ElinaInstagramReels,support@instagram.com,sent
2025-08-29T06:28:08,Printify,support@printify.com,sent
2025-08-29T06:28:11,MeshyAI,support@meshy.ai,sent
2025-08-29T06:28:15,CadCrowd,info@cadcrowd.com,sent
2025-08-29T06:28:19,Fiverr,support@fiverr.com,sent
2025-08-29T06:28:24,YouTube,youtube-api-support@google.com,sent
2025-08-29T06:28:28,StockImageVideo,submit@shutterstock.com,sent
2025-08-29T06:28:32,AIBookPublishingKDP,kdp-support@amazon.com,sent
2025-08-29T06:28:35,ShopifyDigitalProducts,support@shopify.com,sent
2025-08-29T06:28:39,StationeryExport,seller-support@amazon.in,sent
